PartCode,GTIN
44070,00049485440703
44081,00049485440819
44120,00049485441205
44130,00049485441304
44140,00049485441403
44150,00049485441502
44161,00049485441618
44180,00049485441809
44190,00049485441908
44200,00049485442004
44211,00049485442110
44221,00049485442219
44230,00049485442301
44241,00049485442417
44250,00049485442509
44260,00049485442608
44261,00049485442615
44270,00049485442707
44280,00049485442806
44290,00049485442905
44321,10093901776560
44340,00049485443407
44360,00049485443605
44410,00049485444107
44411,00049485444114
44420,00049485444206
44430,00049485444305
44440,00049485444404
44441,00049485444411
44460,00049485444602
44470,00049485444701
44480,00049485444800
44490,00049485444909
44500,00049485445005
44510,00049485445104
44540,00049485445401
44550,00049485445500
44561,00049485445616
44571,00049485445715
44591,00049485445913
44600,20049485446006
44610,00049485446101
44620,00049485446200
44621,00049485446217
45010,00049485450108
45020,00049485450207
45031,00049485450313
45041,00049485450412
45051,00049485450511
45061,00049485450610
45071,00049485450719
45090,00049485450900
45110,00049485451105
45130,00049485451303
45131,00049485451310
45141,00049485451419
45151,00049485451518
45160,00049485451600
45171,00049485451716
45180,00049485451808
45191,00049485451914
45201,00049485452010
45211,00049485452119
45220,20049485452205
45231,10658249683293
45241,00049485452416
45501,00049485455011
46020,00049485460206
46021,00049485460213
46022,10795835883153
46023,10093901751321
46024,00806795606515
46030,00049485460305
46031,00049485460312
46050,00049485460503
46061,00049485460619
46070,00049485460701
46080,00049485460800
46090,00049485460909
46100,00049485461005
46130,00049485461302
46150,00049485461500
46160,00049485461609
46180,00049485461807
46190,00049485461906
46200,00049485462002
46210,00049485462101
46220,00049485462200
46231,00049485462316
46241,00049485462415
46251,00049485462514
46261,00049485462613
46271,10889356090562
46510,00049485465102
46521,00049485465218
46531,00049485465317
46541,00049485465416
46550,00049485465508
46560,00049485465607
46570,00049485465706
46591,00049485465911
46600,00049485466000
46610,00049485466109
46620,00049485466208
46630,00049485466307
46641,10889356011239
46651,00049485466512
46671,00049485466710
46681,00049485466819
46691,10049485466915
46700,20049485467001
46710,20049485467100
46720,00049485467205
46731,00049485467311
46732,00049485467328
46741,00049485467410
46742,00049485467427
46751,00049485467519
46761,00049485467618
46770,00049485467700
47000,00049485470007
47010,00049485470106
47021,00049485470212
47030,00049485470304
47041,00049485470410
47050,00049485470502
47051,00890253001059
47061,00049485470618
47070,00049485470700
47080,00049485470809
47090,00049485470908
47100,00049485471004
47110,00049485471103
47111,00049485471110
47120,00049485471202
47130,00049485471301
47131,00049485471318
47141,00890253001011
47151,10795835880107
47160,00049485471608
47170,00049485471707
47181,00049485471813
47190,00049485471905
47200,00049485472001
47211,00049485472117
47221,00049485472216
47231,00049485472315
47241,00049485472414
47251,00049485472513
47261,00049485472612
47270,00049485472704
47280,00049485472803
47290,00049485472902
47300,00049485473008
47310,00049485473107
47320,00049485473206
47330,00049485473305
47331,00806795606478
47340,00049485473404
47350,00049485473503
47360,00049485473602
47361,00049485473619
47370,00049485473701
47380,00049485473800
47391,10093901776522
47400,00049485474005
47410,00049485474104
47420,00049485474203
47430,00049485474302
47440,00049485474401
47441,00049485474418
47450,00049485474500
47460,00049485474609
47480,00049485474807
47490,00049485474906
47500,00049485475002
47510,00049485475101
47511,00049485475118
47521,10093901116670
47530,00049485475309
47540,00049485475408
47550,00049485475507
47561,00049485475613
47570,00049485475705
47571,00806795488814
47572,00734730548609
47580,00049485475804
47590,00049485475903
47591,00049485475910
47600,00049485476009
47610,00049485476108
47621,00049485476214
47631,00049485476313
47641,00049485476412
47651,00806795488838
47660,00049485476603
47670,00049485476702
47680,00049485476801
47690,00049485476900
47701,00049485477013
47711,00049485477112
47720,00049485477204
47730,00049485477303
47741,00049485477419
47751,00049485477518
47760,00049485477600
47770,00049485477709
47781,00049485477815
47790,00049485477907
47800,00049485478003
47810,00049485478102
47820,00049485478201
47831,00049485478317
47840,00049485478409
47850,00049485478508
47860,00049485478607
47870,00049485478706
47881,00049485478812
47891,00049485478911
47901,00049485479017
47910,00049485479109
47921,10685060012032
47931,00049485479314
47941,10795835881319
47950,00049485479505
47960,00049485479604
47970,00049485479703
47971,00049485479710
47980,00049485479802
47981,00049485479819
47990,00049485479901
48000,10049485480003
48040,10049485480409
48200,10049485482007
48210,10049485482106
48221,10049485482212
48231,10049485482311
48241,10049485482410
48261,00049485482611
48271,00049485482710
48280,00049485482802
48310,10049485483103
48320,10049485483202
48331,10049485483318
48400,10049485484001
48410,10049485484100
48420,10049485484209
48430,10049485484308
48440,10049485484407
48450,10049485484506
48461,10049485484612
48471,10049485484711
48480,10049485484803
48481,10049485484810
48490,10049485484902
485,00049485004851
48501,10049485485015
48610,10049485486104
48701,10049485487019
48711,10049485487118
48721,10049485487217
48731,10049485487316
48741,10049485487415
48751,10049485487514
48761,10049485487613
48771,00049485487715
48781,10049485487811
48791,10049485487910
48810,10049485488108
48820,00049485488200
48901,00049485489016
48911,00049485489115
48941,10049485489419
48951,10049485489518
49010,00049485490104
49020,00049485490203
49030,00049485490302
49040,00049485490401
49050,00049485490500
49060,00049485490609
49070,00049485490708
49080,00049485490807
49090,00049485490906
49100,00049485491002
49120,00049485491200
49130,00049485491309
49140,00049485491408
49150,00049485491507
49160,00049485491606
49190,00049485491903
49201,00049485492016
49210,00049485492108
49211,00806795561272
49221,00049485492214
49231,00049485492313
49241,10049485492419
49251,10049485492518
49261,00049485492610
49500,00049485495000
49511,00049485495116
49520,00049485495208
49531,00049485495314
49540,00049485495406
49550,00049485495505
49560,00049485495604
49570,00049485495703
49580,00049485495802
49590,00049485495901
49601,00049485496014
49602,00049485496021
49611,00049485496113
49620,00049485496205
49631,00049485496311
49641,00049485496410
49651,50758108789697
49660,00049485496601
49661,00049485496618
49662,00049485496625
49671,00049485496717
49681,00049485496816
49691,00049485496915
497,10049485004971
49700,10049485497001
49711,00049485497110
49721,00049485497219
49730,00049485497301
49741,00049485497417
49751,10750947067549
49761,10049485497612
49771,00049485497714
49781,00049485497813
49790,00049485497905
49791,00049485497912
498,10049485004988
49800,00049485498001
49810,00049485498100
49820,00049485498209
49830,00049485498308
49840,00049485498407
49850,00049485498506
49860,00049485498605
49861,00049485498612
49871,10889356121686
49881,10889356122119
49891,00049485498919
5001,00049485050018
5002,00049485050025
5004,00049485050049
5006,00049485050063
5020,00049485050209
5020CE,20049485050203
5021,00049485050216
5021CE,20049485050210
5022,00049485050223
5023,00049485050230
5024,00049485050247
5027,00049485050278
5027CE,20049485050272
5030CE,20049485050302
5033CE,20049485050333
5035CE,20049485050357
5036CE,20049485050364
5038CE,20049485050388
5040CE,20049485050401
5041CE,20049485050418
5046CE,20049485050463
5048CE,20049485050487
5049CE,20049485050494
5051,00049485050513
5051CE,20049485050517
5052,00049485050520
5052CE,20049485050524
5053CE,20049485050531
5054CE,20049485050548
5055CE,20049485050555
5056CE,20049485050562
5057CE,20049485050579
5090,00049485050902
5090CE,20049485050906
5091,00049485050919
5103,00049485051039
5109CE,20049485051095
5110,00049485051107
5110CE,20049485051101
5111,00049485051114
5111CE,20049485051118
5112,00049485051121
5112CE,20049485051125
5113,00049485051138
5113CE,20049485051132
5114,00049485051145
5115,00049485051152
5116,00049485051169
515,00049485005155
5150,00049485051503
5150CE,20049485051507
5151CE,20049485051514
5153,00049485051534
5154,00049485051541
5155,00049485051558
5156CE,20049485051569
5157CE,20049485051576
5158CE,00049485051589
5159,00049485051596
515CE,20049485005159
5160,00049485051602
5161CE,20049485051613
5163CE,20049485051637
5164,00049485051640
5165,00049485051657
517,00049485005179
519,00049485005193
519CE,20049485005197
5201CE,20049485052016
5202,00049485052029
5205,00049485052050
5205CE,20049485052054
5212,00049485052128
5219,00049485052197
5220,00049485052203
5221,00049485052210
5222,00049485052227
5224,00049485052241
5224CE,20049485052245
5225,00049485052258
5226,00049485052265
5227,00049485052272
5229,00049485052296
523,00049485005230
5230CE,20049485052306
5231CE,20049485052313
5232CE,20049485052320
5233,00049485052333
5235,00049485052357
5235CE,20049485052351
523CE,20049485005234
5242CE,20049485052429
5245CE,20049485052450
5248CE,20049485052481
5249CE,20049485052498
5250,00049485052500
5250CE,20049485052504
5250OH,40049485052508
5252CE,20049485052528
5253CE,20049485052535
5253CE30,20049485152532
5254,00049485052548
5254CE,20049485052542
5255CE,20049485052559
5257CE,20049485052573
5258CE,20049485052580
5259CE,20049485052597
5260CE,20049485052603
5261CE,20049485052610
5262CE,20049485052627
5263CE,20049485052634
5264CE,20049485052641
5265CE,20049485052658
5267CE,20049485052672
527,00049485005278
5280,00049485052807
5280CE,20049485052801
5281CE,20049485052818
5282,00049485052821
5283,00049485052838
5284,00049485052845
5285,00049485052852
5303,00049485053033
5303CE,20049485053037
5304,00049485053040
5307,00049485053071
5309CE,20049485053099
5314,00049485053149
5316,00049485053163
5316CE,20049485053167
532,00049485005322
5320,00049485053200
5320CE,20049485053204
5323CE,20049485053235
5324CE,20049485053242
5325,00049485053255
5326,00049485053262
5327CE,20049485053273
5328CE,20049485053280
5329,00049485053293
5332,00049485053323
5333,00049485053330
5333CE,20049485053334
5334,00049485053347
5337,00049485053378
5337CE,20049485053372
5338CE,20049485053389
5343,00049485053439
5343CE,20049485053433
5346CE,20049485053464
5347,00049485053477
5348CE,20049485053488
535,00049485005353
538,00049485005384
5380,00049485053804
5380CE,20049485053808
5381,00049485053811
5382CE,20049485053822
5383,00049485053835
5383CE,20049485053839
5384,00049485053842
5385,00049485053859
538CE,20049485005388
5390CE,20049485053907
5391,00049485053910
5391CE,20049485053914
5393,00049485053934
5393CE,20049485053938
5395CE,20049485053952
5396CE,20049485053969
5397CE,20049485053976
5398CE,20049485053983
540,00049485005407
5401,00049485054016
5401CE,20049485054010
5402,00049485054023
5406CE,20049485054065
5407CE,20049485054072
541,00049485005414
5410,00049485054108
5411,00049485054115
5412,00049485054122
5414,00049485054146
5414CE,20049485054140
5415,00049485054153
5416,00049485054160
5416CE,20049485054164
5416OH,40049485054168
5417,00049485054177
5418CE,20049485054188
5419CE,20049485054195
5420CE,20049485054201
5423CE,20049485054232
5425,00049485054252
5425CE,20049485054256
5426CE,20049485054263
5429,00049485054290
5429CE,20049485054294
5430CE,20049485054300
5431CE,20049485054317
5432CE,20049485054324
5436CE,20049485054362
5437CE,20049485054379
544,00049485005445
5441,00049485054412
5442CE,20049485054423
5443CE,20049485054430
5444CE,20049485054447
544CE,20049485005449
545,00049485005452
545CE,20049485005456
5481,00049485054818
550,00049485005506
5501CE,20049485055017
5502CE,20049485055024
5503,00049485055037
550CE,20049485005500
5515CE,20049485055154
5516,00049485055167
5516CE,20049485055161
5517,00049485055174
5517CE,20049485055178
552,00049485005520
5520,00049485055204
5521,00049485055211
5521CE,20049485055215
5522,00049485055228
5523,00049485055235
5525,00049485055259
5526,00049485055266
5527,00049485055273
5528CE,20049485055284
552CE,20049485005524
5532,00049485055327
5532CE,20049485055321
5533CE,20049485055338
5534CE,20049485055345
5541CE,10049485055416
5542CE,20049485055420
555,00049485005551
557,00049485005575
5578,00049485055785
5578CE,20049485055789
5580CE,20049485055802
5581CE,20049485055819
5588CE,20049485055888
5590,00049485055907
5590CE,20049485055901
5591,00049485055914
5591CE,20049485055918
5592CE,20049485055925
5593CE,20049485055932
5594CE,20049485055949
